id,name,affiliation
A5112918991,Aqsa Asif,"Pattern Recognition Lab, Department of Computer & Information Sciences, Pakistan Institute of Engineering & Applied Sciences, Nilore, Islamabad, 45650, Pakistan"
A5002238970,Arezoo Sarkheyli-Hägele,"Internet of Things and People Research Center, Department of Computer Science and Media Technology, Malmö University, 20506, Malmö, Sweden"
A5029164573,Arijit Mondal,"Department of Applied Mathematics with Oceanology and Computer Programming, Vidyasagar University, Midnapore, West Bengal, 721101, India"
A5065488177,Aris Filos-Ratsikas,"Department of Computer Science, University of Liverpool, Liverpool, UK"
A5063616928,Arman Zareian,"Department of Electrical and Computer Engineering, Isfahan University of Technology, Isfahan, Iran"
A5072563444,Arpan Pal,"TATA Consultancy Services Research and Innovation, Kolkata, 700 156, India"
A5029772821,Arshi Parvaiz,"School of Electrical Engineering & Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, Pakistan"
A5004923213,Arshia Rehman,"COMSATS University Islamabad, Abbottabad-Campus, Abbottabad, Pakistan"
A5015403247,Arslan A. Rizvi,"School of Intelligent Control, Qilu Institute of Technology, Jingshi East Road, Jinan City, 250200, China"
A5011070228,Arti Anuragi,"Department of Computer Science & Engineering, National Institute of Technology Raipur, G E Road Raipur, Raipur, Chhattisgarh, 492010, India"
A5060005929,Artur S. d’Avila Garcez,"Data Science Institute, City, University of London, Northampton Square, London, EC1V 0HB, UK"
A5046638598,Arunkumar Bongale,"Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, 412115, Maharashtra, India"
A5091533064,Arup Kumar Chattopadhyay,"Indian Institute of Technology Madras, Chennai, India"
A5098849667,Arwa M. AL Akhatatneh,"College of Computer Science and Engineering, Taibah University, 46421, Yanbu, Saudi Arabia"
A5085956666,Asadullah Kehar,"Institute of Computer Science, Shah Abdul Latif University, Khairpur, Pakistan"
A5014647743,Ashim Saha,"Department of Computer Science and Engineering, National Institute of Technology Agartala, Agartala, Tripura, 799046, India"
A5046211643,Ashish M. Gujarathi,"Department of Petroleum & Chemical Engineering, College of Engineering, Sultan Qaboos University, P.O. Box 33, P.C. 123, Al-Khod, Muscat, Sultanate of Oman"
A5100660163,Ashish Mishra,"Department of Computer Science & Engineering and Information Technology, Jaypee Institute of Information Technology, Sector-62, Noida-201309, Uttar Pradesh, India"
A5075855692,Ashish Srivastava,"Department of ITCA, Madan Mohan Malaviya University of Technology, Gorakhpur, U.P., 273010, India"
A5085387380,Ashlesha Hota,"Department of CSE, Central Institute of Technology Kokrajhar, Kokrajhar, India"
A5087992735,Ashok Yadav,"Department of Information Technology, Indian Institute of Information Technology Allahabad, Prayagraj, Uttar Pradesh, 211015, India"
A5101948445,Ashraf Darwish,"Faculty of Science, Helwan University, Helwan, Egypt"
A5069204294,Ashray Saini,"Department of Computer Science and Engineering, National Institute of Technology Uttarakhand, Srinagar Garhwal, Uttarakhand, 246174, India"
A5093438743,Ashutosh Karwa,"Information Technology, Ramrao Adik Institute of Technology, D. Y. Patil Deemed to be University, Sector-7, Nerul Navi Mumbai, Maharashtra, 400706, India"
A5051197396,Ashutosh Mishra,"School of Integrated Technology, Yonsei University, Seoul, South Korea"
A5090399155,Asif Iqbal Middya,"Department of Computer Science and Engineering, Jadavpur University, Kolkata, India"
