work_id,author_id,position
W4303984810,A5003725608,first
W4303984810,A5003928961,middle
W4303984810,A5025236262,middle
W4303984810,A5077770842,last
W4304098281,A5029900948,last
W4304098281,A5044318426,first
W4304175779,A5021355100,first
W4304175779,A5052213341,last
W4304187656,A5015767236,first
W4304187656,A5085432173,last
W4304698333,A5003799782,middle
W4304698333,A5053403067,last
W4304698333,A5083775463,middle
W4304698333,A5103203760,first
W4306292106,A5037331113,first
W4306292106,A5041045029,middle
W4306292106,A5042805664,last
W4306292106,A5053428338,middle
W4306292106,A5054285669,middle
W4306292106,A5072302612,middle
W4306292106,A5086614609,middle
W4306292106,A5087094312,middle
W4306786778,A5004203337,middle
W4306786778,A5010989991,first
W4306786778,A5062646838,middle
W4306786778,A5085542421,last
W4307129239,A5043558491,middle
W4307129239,A5049612719,first
W4307129239,A5066188490,middle
W4307129239,A5070612539,middle
W4307129239,A5100740354,last
W4307243336,A5055720661,first
W4307243336,A5061276551,last
W4307321238,A5019489166,middle
W4307321238,A5031125465,first
W4307321238,A5037355389,middle
W4307321238,A5044418860,middle
W4307321238,A5062210815,last
W4307321238,A5090847392,middle
W4307572272,A5040973120,first
W4307572272,A5048866658,last
W4307819182,A5005266091,middle
W4307819182,A5013570285,middle
W4307819182,A5028039581,last
W4307819182,A5048328260,first
W4307910037,A5008343337,middle
W4307910037,A5023526275,last
W4307910037,A5028194255,first
W4307910037,A5070213345,middle
W4307910037,A5070305773,middle
W4307910037,A5100757593,middle
W4307911024,A5043447596,first
W4307913127,A5029728370,first
W4307913127,A5101166347,last
W4308112317,A5009120208,first
W4308112567,A5012247372,first
W4308112567,A5074504268,middle
W4308112567,A5100446696,last
W4308160155,A5021247547,last
W4308160155,A5073792362,first
W4308160155,A5100443536,middle
W4308160155,A5102790255,middle
W4308381112,A5065674426,last
W4308381112,A5087235995,middle
W4308381112,A5087337150,first
W4308607522,A5037780781,middle
W4308607522,A5069850104,first
W4308607522,A5074053623,last
W4308607522,A5100456371,middle
W4308607522,A5101512472,middle
W4308607522,A5102873364,middle
W4308750008,A5025980566,last
W4308750008,A5062378664,first
W4308840623,A5084878716,last
W4308840623,A5090703168,first
W4308840632,A5009023776,last
W4308840632,A5028215399,first
W4308861918,A5062187850,middle
W4308861918,A5086387693,first
W4308861918,A5100752356,last
W4309198707,A5032469465,middle
W4309198707,A5054801103,first
W4309198707,A5071962721,last
W4309198707,A5081318069,middle
W4309349667,A5002263224,middle
W4309349667,A5072684302,last
W4309349667,A5103240136,first
W4309490745,A5020831807,middle
W4309490745,A5031767757,middle
W4309490745,A5064836784,first
W4309490745,A5067567502,middle
W4309490745,A5075145520,middle
W4309490745,A5085432173,last
